Date,Inbound,Outbound
2020-12-13 13:50:00,738108030.41,180477963.38
2020-12-13 13:55:00,708962556.49,180410341.59
2020-12-13 14:00:00,755253786.22,176044841.31
2020-12-13 14:05:00,768495320.61,176217941.71
2020-12-13 14:10:00,697403354.41,180992281.69
2020-12-13 14:15:00,724418123.34,191471281.87
2020-12-13 14:20:00,724400438.61,181902013.93
2020-12-13 14:25:00,754953144.63,176851497.42
2020-12-13 14:30:00,765277680.76,177888326.7
2020-12-13 14:35:00,786046171.96,175799393.51
2020-12-13 14:40:00,763591651.56,166286339.71
2020-12-13 14:45:00,788638650.96,166196457.78
2020-12-13 14:50:00,760934886.11,157807454.61
2020-12-13 14:55:00,685287426.84,163165657.19
2020-12-13 15:00:00,739450553.37,169207604.6
2020-12-13 15:05:00,787142205.61,176987061.14
2020-12-13 15:10:00,766909457.83,171731561.0
2020-12-13 15:15:00,712665513.3,167516247.96
2020-12-13 15:20:00,729266717.58,188200488.25
2020-12-13 15:25:00,729812379.07,190632931.21
2020-12-13 15:30:00,788975520.04,188014266.17
2020-12-13 15:35:00,750597278.55,176175039.88
2020-12-13 15:40:00,727591007.42,157370928.68
2020-12-13 15:45:00,721684422.23,181827348.33
2020-12-13 15:50:00,752868415.49,215816157.27
2020-12-13 15:55:00,764215354.0,200001671.58
2020-12-13 16:00:00,736386362.78,185443580.48
2020-12-13 16:05:00,718361560.91,194901048.01
2020-12-13 16:10:00,709041888.51,176127177.91
2020-12-13 16:15:00,691684038.2,182760967.4
2020-12-13 16:20:00,754355479.39,200865547.77
2020-12-13 16:25:00,744598137.19,203007530.99
2020-12-13 16:30:00,766452104.52,194308337.38
2020-12-13 16:35:00,741426451.03,190137436.24
2020-12-13 16:40:00,763788672.53,194721820.51
2020-12-13 16:45:00,713149739.8,207496420.67
2020-12-13 16:50:00,717251962.62,220287897.81
2020-12-13 16:55:00,753723827.76,219770398.09
2020-12-13 17:00:00,737240509.34,218621657.31
2020-12-13 17:05:00,726308355.74,224867330.59
2020-12-13 17:10:00,763485932.09,215628269.89
2020-12-13 17:15:00,760433054.77,214111847.44
2020-12-13 17:20:00,717808143.25,229505753.08
2020-12-13 17:25:00,748565121.77,233126573.52
2020-12-13 17:30:00,799911777.66,209728440.56
2020-12-13 17:35:00,761639573.33,198039734.11
2020-12-13 17:40:00,762719677.71,211627910.73
2020-12-13 17:45:00,800903561.37,209316511.62
2020-12-13 17:50:00,772102361.87,204209716.92
2020-12-13 17:55:00,784881094.62,228820074.69
2020-12-13 18:00:00,809236928.63,221277119.82
2020-12-13 18:05:00,810880257.53,226552273.24
2020-12-13 18:10:00,816933508.16,230542474.36
2020-12-13 18:15:00,799351425.48,225466368.86
2020-12-13 18:20:00,823470123.92,218461240.15
2020-12-13 18:25:00,815873737.61,207083445.67
2020-12-13 18:30:00,766026679.02,202322445.05
2020-12-13 18:35:00,811441929.1,221730876.06
2020-12-13 18:40:00,801735460.49,214412588.88
2020-12-13 18:45:00,814198501.22,207964864.82
2020-12-13 18:50:00,799206747.28,211967964.77
2020-12-13 18:55:00,764203854.42,234305107.41
2020-12-13 19:00:00,806021518.64,240187181.09
2020-12-13 19:05:00,797728982.18,238966281.17
2020-12-13 19:10:00,791872272.42,244313224.46
2020-12-13 19:15:00,790158936.97,228476516.21
2020-12-13 19:20:00,816942466.84,230236152.26
2020-12-13 19:25:00,794221368.43,227409322.08
2020-12-13 19:30:00,816084101.35,254846944.8
2020-12-13 19:35:00,798250923.1,241196950.19
2020-12-13 19:40:00,821874411.76,244071966.66
2020-12-13 19:45:00,820985656.43,233389374.13
2020-12-13 19:50:00,774286629.43,228428190.29
2020-12-13 19:55:00,808001818.71,234549502.87
2020-12-13 20:00:00,782747844.32,239930605.55
2020-12-13 20:05:00,783252257.78,240041469.89
2020-12-13 20:10:00,720001240.85,221124995.58
2020-12-13 20:15:00,778700056.44,226874439.56
2020-12-13 20:20:00,803666428.51,235409179.57
2020-12-13 20:25:00,760062585.4,218533305.4
2020-12-13 20:30:00,820311698.11,227967296.61
2020-12-13 20:35:00,826931027.15,220529666.66
2020-12-13 20:40:00,828558099.8,202575966.16
2020-12-13 20:45:00,795471748.21,197919930.19
2020-12-13 20:50:00,798634803.96,202408539.14
2020-12-13 20:55:00,761593834.67,198151373.85
2020-12-13 21:00:00,791048840.9,220597710.27
2020-12-13 21:05:00,819004813.49,211316782.03
2020-12-13 21:10:00,776912979.58,205478817.76
2020-12-13 21:15:00,737557102.49,203942205.95
2020-12-13 21:20:00,780726047.37,208944204.79
2020-12-13 21:25:00,783789279.1,195836731.65
2020-12-13 21:30:00,733814297.6,183246644.54
2020-12-13 21:35:00,808106563.93,192169797.2
2020-12-13 21:40:00,795854262.02,172984621.41
2020-12-13 21:45:00,788479995.01,163440580.05
2020-12-13 21:50:00,793791510.06,166251825.84
2020-12-13 21:55:00,748969945.09,164853356.6
2020-12-13 22:00:00,763948186.98,159810260.66
2020-12-13 22:05:00,745461310.53,156067548.65
2020-12-13 22:10:00,765631561.27,151407864.4
2020-12-13 22:15:00,743254666.53,175080394.54
2020-12-13 22:20:00,723658205.71,164502786.62
2020-12-13 22:25:00,701183489.51,165631274.16
2020-12-13 22:30:00,742080150.03,152991662.5
2020-12-13 22:35:00,799787925.06,155236031.23
2020-12-13 22:40:00,766096141.76,150048120.73
2020-12-13 22:45:00,749272098.65,135578711.4
2020-12-13 22:50:00,723090721.42,132986784.98
2020-12-13 22:55:00,709589027.53,132378869.66
